OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price
164,FLYING J TRAVEL PLAZA #650,"I-94, EXIT 15 B",Lake Station                            ,IN,365,3.809
167,FLYING J TRAVEL PLAZA #653,RT 2 & I-65 EXIT 240,Hebron,IN,365,3.43566666
174,Hop-In Food Stores,US-59 & SR-224,Nacogdoches                             ,TX,618,2.859
184,SAPP BROS TRAVEL CENTER,"I-29 & I-80, EXIT 1B",Council Bluffs,IA,486,3.719
186,COFFEE CUP FUEL STOP #5,"I-90, EXIT 154 & US-16",Moorcroft                               ,WY,822,3.239
187,DUDLEYS CORNER,"I-35, EXIT 165 & SR-3",Latimer,IA,433,3.23233333
191,KUM & GO #0302,"I-35, EXIT 193 & SR 106",Clear Lake,IA,433,3.18566666
192,Brew Stuart Truckstop,"I-80, EXIT 93",Stuart                                  ,IA,320,3.099
195,PETRO STOPPING CENTER #311,"I-40 & I-55, EXIT 280",West Memphis,AR,435,3.36733333
198,SINCLAIR,"I-76, EXIT 115",Atwood,CO,800,3.299
199,PETRO STOPPING CENTER #366,"I-70, EXIT 252",Salina,KS,523,3.80566666
203,PILOT TRAVEL CENTER #31,"I-80/94, EXIT 2",Highland,IN,365,3.829
203,PILOT TRAVEL CENTERS #31,"I-80/94, EXIT 2",Highland,IN,365,3.799
207,MARATHON,SR-32,Sardinia                                ,OH,300,3.56566666
216,CIRCLE K #2721593,"I-10, EXIT 50",Ocean Springs,MS,715,3.41566666
217,NORTH 9TH 24/7,"I-70, EXIT 252",Salina,KS,523,3.02566666
231,DERBY CITYS TRUCK PLAZA,"I-75, EXIT 62 & US-25",Mount Vernon,KY,410,2.999
235,PILOT TRAVEL CENTERS #92,"I-75, EXIT 358",Ocala,FL,225,3.359
235,PILOT TRAVEL CENTER #92,"I-75, EXIT 358",Ocala,FL,225,3.41233333
240,LA 1 SOUTH TRUCKSTOP,"I-10, EXIT 153 & SR-1",Port Allen,LA,600,3.039
243,SAVE,US-41 & SR-10,Lake Village,IN,399,3.179
244,BIG D TRUCK TRAVEL PLAZA,"I-10, EXIT 92 & SR-95",Duson,LA,725,2.98233333
248,Mardi Gras Truck Stop,"I-10, EXIT 236",New Orleans,LA,725,3.729
250,GOLDEN OX TRUCK STOP,"I-70/US-40, EXIT 159 & US-183",Hays,KS,523,3.499
253,LOVES TRAVEL STOP #450,"I-40, EXIT 280 & I-55, EXIT 4",West Memphis,AR,435,3.32566666
256,BFS FOODS #66,"I-68/US-40, EXIT 22 & US-219",Grantsville                             ,MD,165,3.899
257,PILOT TRAVEL CENTER #917- TOWN PUMP,I-15 & 31ST STREET EXIT 277,Great Falls                             ,MT,815,3.63566666
263,CASEYS #3956,I-94 EXIT 16,Bridgman,MI,465,3.559
267,CORNER MARKET #117,SR-154 & SR-129,Dodge City,KS,357,3.399
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.299
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.249
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.439
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.349
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.559
278,CARLISLE PLAZA,US-41,Carlisle,IN,510,3.499
281,CIRCLE K #4700065,"I-65, EXIT 76 & US-31",Taylorsville,IN,375,3.399
289,LOVES TRAVEL STOP #173,"I-70, MM 209",Lawrence,KS,553,3.229
292,PETES #56,US-169 & CR-5000,Cherryvale,KS,307,3.23233333
293,LOVES TRAVEL STOP #176,"I-35, MILE MARKER 97",Matfield Green,KS,336,3.25566666
304,FL Roberts,"I-91, EXIT 4",Springfield,MA,100,3.599
309,QUIKTRIP #231,"I-635, EXIT 3",Kansas City,KS,400,3.199
323,SAPP BROS TRAVEL CENTER,"I-80, EXIT 126",Ogallala,NE,475,3.46566666
326,FLYING J TRAVEL PLAZA #748,"I-15, EXIT 357",Willard                                 ,UT,835,3.749
341,TA JACKSONVILLE SOUTH TRAVEL CENTER,"I-95, EXIT 329",Saint Johns,FL,75,3.469
347,7-ELEVEN #40514,I-90/80-IN TOLL RD MM 22E,Portage,IN,365,3.99066666
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.769
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.689
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.699
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.739
361,CIRCLE K #2726293,"I-295, EXIT 25",Jacksonville,FL,75,3.31566666
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.749
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.799
372,GAS DEPOT,"I-94, EXIT 5",Hammond,IN,365,3.999
381,7-Eleven #41830,US-69 & US-135,Jacksonville,TX,630,2.91566666
387,Circle K #2709664,"I-8, EXIT 12",Yuma,AZ,930,3.489
388,Pilot Travel Centers #14,"I-71, EXIT 131",Sunbury,OH,315,3.719
391,PILOT TRAVEL CENTERS #13,"I-71, EXIT 209",Seville,OH,305,3.699
403,TRUCKOMAT OF HEBRON,"I-70, EXIT 126 & SR-37",Hebron,OH,315,3.429
407,FUEL MART #641,"I-80 & I-280, EXIT 71",Perrysburg                              ,OH,550,3.499
421,PETRO STOPPING CENTER #316,"I-40 & I-35, EXIT 127",Oklahoma City,OK,483,3.30233333
424,E EXPRESS,"I-40, EXIT 166",Choctaw,OK,483,2.899
425,Neighbors Express,"I-16, EXIT 51",Dublin                                  ,GA,85,3.299
442,WESTERN COOP,US-385 & SR-2,Alliance,NE,795,3.324
455,MR FUEL #753,"I-95, EXIT 104 & SR-207",Ruther Glen,VA,180,3.26566666
456,THE COUNTRY OASIS,US-24,Woodburn                                ,IN,370,3.399
458,HAPPY HILLS GAS & COFFEE,I-29 EXIT 110,Rock Port,MO,400,3.399
460,TRUCK STOP 44,I-20 EXIT 44,Gilbert,SC,135,3.079
461,SPINX #271,"I-26, EXIT 145 & US-601",Orangeburg,SC,42,3.26233333
469,LOAF N JUG #750010,US-160 & SR-17,Alamosa,CO,803,3.259
474,KEWANEE 1 STOP,"I-20, EXIT 169 & US-80",Toomsuba,MS,705,3.299
478,GASTRAK OF PEMBINA,"I-29, EXIT 215",Pembina                                 ,ND,355,3.299
483,ALLSUPS #2387,US-54/SR-136/SR-3 & US-64,Guymon,OK,585,2.97566666
486,LA NORIA CONV STORES,"I-35 N, EXIT 4",Laredo                                  ,TX,693,3.299
489,EDDIES CORNER,US-87 & US-191,Moore,MT,815,3.749
491,One9 #403,"I-75, EXIT 117",Heiskell,TN,405,2.999
496,PILOT TRAVEL CENTERS #270,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.439
509,LOVES TRAVEL STOPS #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649
509,LOVES TRAVEL STOP #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649
522,GO MART FOOD STORE #57,"I-70 & ST-285, EXIT 186",Lore City                               ,OH,430,3.179
523,CIRCLE K #2723322,"I-985, EXIT 20 & SR-60",Gainesville,GA,18,3.26566666
525,FASTBREAK,US-45 ALT,West Point,MS,705,3.059
546,PLAZA 30,US-30,Wanatah,IN,365,3.499
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.389
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.589
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.449
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.289
559,SHELL MORGAN ROAD TRUCK STOP,"I-40, EXIT 142",Maumelle,AR,695,3.20733333
566,TA GARY TRAVEL CENTER,"I-80/I-94, EXIT 6",Gary,IN,365,3.83066666
567,TA ELOY TRAVEL CENTER,"I-10 & I-8, EXIT 203",Eloy,AZ,930,3.459
572,PILOT TRAVEL CENTER #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,370,3.899
572,PILOT TRAVEL CENTERS #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,370,3.879
576,PETRO STOPPING CENTER #343,"I-10, EXIT 76",Egan,LA,600,3.624
578,LOVES TRAVEL STOP #449,"I-84, EXIT 17",Troutdale,OR,935,3.779
579,FLYING J TRAVEL PLAZA #764,"I-80, EXIT 104 & US-191",Rock Springs,WY,835,3.67066666
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.399
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.559
588,TA TUSCALOOSA TRAVEL CENTER,"I-20/I-59, EXIT 77",Cottondale,AL,615,2.964
591,TA Concordia Travel Plaza,"I-70, EXIT 58 & SR-23",Concordia,MO,400,3.22566666
599,Sapp Bros Travel Center,"I-80, EXIT 59 & SR-17J",Sidney,NE,475,3.50066666
602,JIFFY MART EXIT 18 TRUCK STOP,"I-89/SR-120, EXIT 18 & SR-120",Lebanon,NH,12,3.599
614,TA MAYBROOK TRAVEL CENTER,"I-84, EXIT 5",Montgomery,NY,120,4.359
628,KWIK FILL #227,"I-90,  EXIT 218",Geneva,OH,305,3.15233333
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39948962
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39625375
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.40695023
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.40630048
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39722401
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.3981947
636,UNION 76,"I-5, EXIT 233 E",Albany,OR,935,3.379
651,ONE9 #1366,"I-40, EXIT 126 & US-641",Holladay,TN,460,2.98566666
652,TA KNOXVILLE EAST TRAVEL CENTER,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.42566666
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.39948962
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59317483
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59114784
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.60163996
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59216111
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.60231851
669,PETRO STOPPING CENTER #350,"I-10,  EXIT 4",Canutillo,TX,640,3.499
672,CROWN POINT TRUCK STOP,"I-295/US-130,EXIT 22",Thorofare,NJ,150,3.549
680,TA EXPRESS SUMMIT,"I-29, EXIT 207 & US-12",Summit,SD,566,3.20566666
684,7-ELEVEN #35101,"I-86/SR-17, EXIT 16",Randolph,NY,38,4.499
689,FLYING EAGLE,"I-235, EXIT 4",Wichita,KS,570,3.499
692,BP,US-63,Ottumwa,IA,489,3.399
739,Arco #364420,US-23,Greenup,KY,255,3.649
748,QUIKTRIP #4231,US-85,Evans,CO,800,3.17233333
769,AYERCO #26,US-61/US-136,Alexandria,MO,345,3.01566666
815,Kwik Trip #1508,"US-18/SR-151, EXIT 58",Barneveld,WI,420,3.489
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.379
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.499
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.289
863,Ocean Fuel,US-301/SR-73,Sylvania,GA,195,3.499
906,PILOT TRAVEL CENTERS #429,"I-40, EXIT 280",West Memphis,AR,435,3.499
906,PILOT TRAVEL CENTER #429,"I-40, EXIT 280",West Memphis,AR,435,3.291
908,CIRCLE K #2704888,"I-65, EXIT 246 & SR-119",Pelham,AL,615,3.46566666
912,PETRO STOPPING CENTER #319,"I-20/59,  EXIT 100",Mc 
